100,"""mid:100""",5577006791947779410,"""mun:100""",8674665223082153551,"""dun:100""","""empe:100""","""mobile:100""","""gender:100""","""age:100""","""rs:100""","""fpd:100""",0.6645600532184904,0.4377141871869802,"""dpfpd:100""",0.4246374970712657,0.6868230728671094
101,"""mid:101""",605394647632969758,"""mun:101""",1443635317331776148,"""dun:101""","""empe:101""","""mobile:101""","""gender:101""","""age:101""","""rs:101""","""fpd:101""",0.09696951891448456,0.30091186058528707,"""dpfpd:101""",0.5152126285020654,0.8136399609900968
102,"""mid:102""",1976235410884491574,"""mun:102""",3510942875414458836,"""dun:102""","""empe:102""","""mobile:102""","""gender:102""","""age:102""","""rs:102""","""fpd:102""",0.31805817433032985,0.4688898449024232,"""dpfpd:102""",0.28303415118044517,0.29310185733681576
103,"""mid:103""",6263450610539110790,"""mun:103""",2015796113853353331,"""dun:103""","""empe:103""","""mobile:103""","""gender:103""","""age:103""","""rs:103""","""fpd:103""",0.20318687664732285,0.360871416856906,"""dpfpd:103""",0.5706732760710226,0.8624914374478864
104,"""mid:104""",2703501726821866378,"""mun:104""",2740103009342231109,"""dun:104""","""empe:104""","""mobile:104""","""gender:104""","""age:104""","""rs:104""","""fpd:104""",0.7525730355516119,0.2065826619136986,"""dpfpd:104""",0.865335013001561,0.6967191657466347
105,"""mid:105""",4831389563158288344,"""mun:105""",261049867304784443,"""dun:105""","""empe:105""","""mobile:105""","""gender:105""","""age:105""","""rs:105""","""fpd:105""",0.15832827774512764,0.6072534395455154,"""dpfpd:105""",0.9752416188605784,0.07945362337387198
106,"""mid:106""",5486140987150761883,"""mun:106""",545291762129038907,"""dun:106""","""empe:106""","""mobile:106""","""gender:106""","""age:106""","""rs:106""","""fpd:106""",0.692024587353112,0.30152268100656,"""dpfpd:106""",0.17326623818270528,0.5410998550087353
107,"""mid:107""",5018949295715050020,"""mun:107""",2568779411109623071,"""dun:107""","""empe:107""","""mobile:107""","""gender:107""","""age:107""","""rs:107""","""fpd:107""",0.4231522015718281,0.5305857153507052,"""dpfpd:107""",0.2535405005150605,0.28208099496492467
108,"""mid:108""",7273596521315663110,"""mun:108""",3337066551442961397,"""dun:108""","""empe:108""","""mobile:108""","""gender:108""","""age:108""","""rs:108""","""fpd:108""",0.8805431227416171,0.2971122606397708,"""dpfpd:108""",0.8943617293304537,0.09745461839911657
109,"""mid:109""",9010467728050264449,"""mun:109""",685213522303989579,"""dun:109""","""empe:109""","""mobile:109""","""gender:109""","""age:109""","""rs:109""","""fpd:109""",0.22228941700678773,0.6810783123925709,"""dpfpd:109""",0.24151508854715265,0.31152244431052484
110,"""mid:110""",8603989663476771718,"""mun:110""",6842348953158377901,"""dun:110""","""empe:110""","""mobile:110""","""gender:110""","""age:110""","""rs:110""","""fpd:110""",0.8010550426526613,0.7302314772948083,"""dpfpd:110""",0.18292491645390843,0.4283570818068078
